Dates,Total Entries,Total Exits
2018-07-14,2998861,2410710
2018-07-15,2271841,1865229
2018-07-16,5155493,3920332
2018-07-17,5213907,3962379
2018-07-18,5502318,4166760
2018-07-19,5484357,4171297
2018-07-20,5248309,3995800
2018-07-21,2845164,2334262
2018-07-22,2231155,1855866
2018-07-23,5054859,3848654
2018-07-24,5415087,4138916
2018-07-25,5293411,4050124
2018-07-26,5487909,4175070
2018-07-27,5149565,3947181
2018-07-28,2990919,2415689
2018-07-29,2426330,1987905
2018-07-30,5069331,3887489
2018-07-31,5336269,4093978
2018-08-01,5306266,4063715
2018-08-02,5330506,4085238
2018-08-03,5040799,3877101
2018-08-04,2736542,2258196
2018-08-05,2375327,1963096
2018-08-06,5008839,3845656
2018-08-07,5207730,4012830
2018-08-08,5253967,4044009
2018-08-09,5326797,4024889
2018-08-10,5077017,3860145
2018-08-11,2510981,2071229
2018-08-12,2285302,1880772
2018-08-13,4812072,3670734
2018-08-14,5177547,3953497
2018-08-15,5218076,4027630
2018-08-16,5165535,3975845
2018-08-17,4913875,3787559
2018-08-18,2689459,2222946
2018-08-19,2160934,1811755
2018-08-20,4758300,3681722
2018-08-21,4947160,3844046
2018-08-22,5002181,3873664
2018-08-23,5049457,3895696
2018-08-24,4884515,3768883
2018-08-25,2806486,2344612
2018-08-26,2280126,1922168
2018-08-27,4924853,3775167
2018-08-28,5091780,3909931
2018-08-29,5067035,3890660
2018-08-30,5092366,3897132
2018-08-31,4726550,3630199
2018-09-01,2724687,2231186
2018-09-02,2344917,1937595
2018-09-03,2371478,1961232
2018-09-04,5121503,3957661
2018-09-05,5514440,4212709
2018-09-06,5687334,4235896
2018-09-07,5525046,4176597
2018-09-08,2962023,2398202
2018-09-09,2187144,1803934
2018-09-10,4596179,3540437
2018-09-11,5051324,3873005
2018-09-12,5783978,4441084
2018-09-13,5820884,4410276
2018-09-14,5699157,4281727
2018-09-15,3102165,2501433
2018-09-16,2464742,2017290
2018-09-17,5553173,4151164
2018-09-18,5358500,4098732
2018-09-19,5018746,3894101
2018-09-20,5900914,4412996
2018-09-21,5729201,4303517
2018-09-22,3211907,2604170
2018-09-23,2400064,1972269
2018-09-24,5522951,4153185
2018-09-25,5488580,4144997
2018-09-26,5873312,4429740
2018-09-27,5911530,4447590
2018-09-28,5629059,4306348
2018-09-29,3151108,2664926
2018-09-30,2450875,2115679
2018-10-01,5440946,4191062
2018-10-02,5631359,4334701
2018-10-03,5895030,4502080
2018-10-04,5941619,4560533
2018-10-05,5808043,4471700
2018-10-06,3106951,2633922
2018-10-07,2537547,2155878
2018-10-08,4227775,3398349
2018-10-09,5805995,4434622
2018-10-10,5912698,4498846
2018-10-11,5750363,4419123
2018-10-12,5832750,4426801
2018-10-13,3042182,2545509
2018-10-14,2442282,2085624
2018-10-15,5517348,4217348
2018-10-16,5840574,4452307
2018-10-17,5861187,4471191
2018-10-18,5920894,4525497
2018-10-19,5756898,4380880
2018-10-20,3103451,2583232
2018-10-21,2404282,2047406
2018-10-22,5603667,4264687
2018-10-23,5852205,4429094
2018-10-24,5884155,4446486
2018-10-25,5955126,4513157
2018-10-26,5822333,4423417
2018-10-27,2628370,2238942
2018-10-28,2467581,2082868
2018-10-29,5634276,4294849
2018-10-30,5916302,4499653
2018-10-31,5808532,4425212
2018-11-01,5872228,4445681
2018-11-02,5709893,4367445
2018-11-03,3191024,2647658
2018-11-04,2756159,2287796
2018-11-05,5613188,4249674
2018-11-06,5239662,4033984
2018-11-07,5892453,4426787
2018-11-08,5938415,4479669
2018-11-09,5616573,4283744
2018-11-10,3126190,2543836
2018-11-11,2461853,2064341
2018-11-12,4716813,3652701
2018-11-13,5692287,4311909
2018-11-14,5861377,4389182
2018-11-15,5859171,4421909
2018-11-16,5484277,4169559
2018-11-17,3117821,2556422
2018-11-18,2377790,2017545
2018-11-19,5660628,4254939
2018-11-20,5773828,4356109
2018-11-21,5306221,3983970
2018-11-22,2007414,1601137
2018-11-23,3312953,2591221
2018-11-24,2652124,2109599
2018-11-25,2329441,1872911
2018-11-26,5434712,4040984
2018-11-27,5821356,4339771
2018-11-28,5928634,4392556
2018-11-29,5988296,4454358
2018-11-30,5851791,4392218
2018-12-01,3337114,2669531
2018-12-02,2406231,1984442
2018-12-03,5736069,4286056
2018-12-04,5904813,4409291
2018-12-05,5820336,4340164
2018-12-06,5940933,4446154
2018-12-07,5804782,4366121
2018-12-08,3349331,2694889
2018-12-09,2507705,2064308
2018-12-10,5616156,4215675
2018-12-11,5810227,4344025
2018-12-12,5865951,4408844
2018-12-13,5751880,4337892
2018-12-14,5807485,4382513
2018-12-15,3308514,2669497
2018-12-16,2400287,2001379
2018-12-17,5635393,4227409
2018-12-18,5799100,4336197
2018-12-19,5763668,4353416
2018-12-20,5692599,4279946
2018-12-21,5108932,3866530
2018-12-22,3175109,2524911
2018-12-23,2706368,2198488
2018-12-24,3284329,2609774
2018-12-25,1752648,1437367
2018-12-26,4008627,3121938
2018-12-27,4521322,3553798
2018-12-28,4045224,3187880
2018-12-29,3199236,2659770
2018-12-30,2625177,2239108
2018-12-31,3501705,2886222
2019-01-01,2163280,1866275
2019-01-02,5019284,3922291
2019-01-03,5246186,4085136
2019-01-04,5216802,4049276
2019-01-05,2541590,2191103
2019-01-06,2183087,1905438
2019-01-07,5126444,3976091
2019-01-08,5254754,4043885
2019-01-09,5374608,4164545
2019-01-10,5363260,4156878
2019-01-11,5228857,4050622
2019-01-12,2669172,2277934
2019-01-13,2062473,1807286
2019-01-14,5141100,3983231
2019-01-15,5349914,4123076
2019-01-16,5408917,4192086
2019-01-17,5429745,4221223
2019-01-18,5133202,3996007
2019-01-19,2645927,2271434
2019-01-20,1862620,1667265
2019-01-21,2433289,2073186
2019-01-22,5086778,3951507
2019-01-23,5297876,4163348
2019-01-24,5191968,4042485
2019-01-25,5401071,4152861
2019-01-26,2900459,2404580
2019-01-27,2273098,1913411
2019-01-28,5287360,4079206
2019-01-29,5517017,4227249
2019-01-30,5385378,4166335
2019-01-31,4858051,3795862
2019-02-01,5207751,4108287
2019-02-02,2752287,2331439
2019-02-03,2180293,1885857
2019-02-04,5347618,4185945
2019-02-05,5289661,4187472
2019-02-06,5614770,4405425
2019-02-07,5627710,4363558
2019-02-08,5523606,4315282
2019-02-09,2860185,2466378
2019-02-10,2193287,1936431
2019-02-11,5427118,4215042
2019-02-12,4897305,3834200
2019-02-13,5680749,4399259
2019-02-14,5710139,4387802
2019-02-15,5435456,4216995
2019-02-16,2955637,2470294
2019-02-17,2388222,2036150
2019-02-18,3092311,2484685
2019-02-19,5230198,4117127
2019-02-20,5017778,3997345
2019-02-21,5308004,4166757
2019-02-22,5178148,4132313
2019-02-23,2812809,2417841
2019-02-24,2035890,1853438
2019-02-25,5292200,4145280
2019-02-26,5586098,4370924
2019-02-27,5516207,4315291
2019-02-28,5599611,4371465
2019-03-01,5389379,4265619
2019-03-02,2728332,2386598
2019-03-03,2206658,1984739
2019-03-04,4253343,3426349
2019-03-05,5645233,4409899
2019-03-06,5613618,4413296
2019-03-07,5679646,4421668
2019-03-08,5563285,4406307
2019-03-09,3044667,2648685
2019-03-10,2113451,1935903
2019-03-11,5497143,4339921
2019-03-12,5686441,4482845
2019-03-13,5710637,4510708
2019-03-14,5746703,4535821
2019-03-15,5592251,4438371
2019-03-16,3095734,2692157
2019-03-17,2362765,2109660
2019-03-18,5347052,4236853
2019-03-19,5584616,4320540
2019-03-20,5649341,4364240
2019-03-21,5487183,4277328
2019-03-22,5426200,4246209
2019-03-23,2931863,2469757
2019-03-24,2338262,1985206
2019-03-25,5362141,4175826
2019-03-26,5629102,4375983
2019-03-27,5663423,4400926
2019-03-28,5730241,4406900
2019-03-29,5532590,4311233
2019-03-30,3172091,2654034
2019-03-31,2199258,1882927
2019-04-01,5503885,4239729
2019-04-02,5701760,4444939
2019-04-03,5808612,4573077
2019-04-04,5827120,4578306
2019-04-05,5571065,4385500
2019-04-06,3223241,2702000
2019-04-07,2444557,2112852
2019-04-08,5488201,4295276
2019-04-09,5696017,4436893
2019-04-10,5773962,4547589
2019-04-11,5724753,4508317
2019-04-12,5622982,4436298
2019-04-13,3201051,2711211
2019-04-14,2398952,2092683
2019-04-15,5463616,4308459
2019-04-16,5823989,4589397
2019-04-17,5853182,4582400
2019-04-18,5766905,4533084
2019-04-19,4653619,3754941
2019-04-20,2768677,2370508
2019-04-21,2291963,1987089
2019-04-22,4878037,3896671
2019-04-23,5373748,4278543
2019-04-24,5366158,4263594
2019-04-25,5379331,4280723
2019-04-26,4972609,3989821
2019-04-27,3190642,2675155
2019-04-28,2350465,2036498
2019-04-29,5491352,4283759
2019-04-30,5667872,4448419
2019-05-01,5727920,4501558
2019-05-02,5814321,4566155
2019-05-03,5682490,4447536
2019-05-04,3162824,2647079
2019-05-05,2252364,1941556
2019-05-06,5621160,4349710
2019-05-07,5795044,4499531
2019-05-08,5789337,4552218
2019-05-09,5778779,4500789
2019-05-10,5554834,4348238
2019-05-11,3143898,2675690
2019-05-12,2019112,1792101
2019-05-13,5396820,4249796
2019-05-14,5725472,4458100
2019-05-15,5855090,4511358
2019-05-16,5864574,4500909
2019-05-17,5704269,4406022
2019-05-18,3322825,2735317
2019-05-19,2569054,2126767
2019-05-20,5557045,4291064
2019-05-21,5728619,4396054
2019-05-22,5680854,4344773
2019-05-23,5471169,4186793
2019-05-24,5362990,4182209
2019-05-25,2967277,2487578
2019-05-26,2513811,2118768
2019-05-27,2573117,2115497
2019-05-28,5398668,4196550
2019-05-29,5647842,4371829
2019-05-30,5688399,4406486
2019-05-31,5704392,4425181
2019-06-01,3093829,2581182
2019-06-02,2455229,2078575
2019-06-03,5484370,4253225
2019-06-04,5458367,4258902
2019-06-05,5683833,4393255
2019-06-06,5648826,4392908
2019-06-07,5588975,4351374
2019-06-08,3182424,2651018
2019-06-09,2518138,2127014
2019-06-10,5200722,4071722
2019-06-11,5676107,4425767
2019-06-12,5823489,4491675
2019-06-13,5639331,4359595
2019-06-14,5637519,4385950
2019-06-15,3123632,2590209
2019-06-16,2270364,1919162
2019-06-17,5421130,4217887
2019-06-18,5554029,4310992
2019-06-19,5682281,4424275
2019-06-20,5658082,4387343
2019-06-21,5523109,4299410
2019-06-22,3220166,2658455
2019-06-23,2556532,2161232
2019-06-24,5379626,4215101
2019-06-25,5501206,4293598
2019-06-26,5763665,4530592
2019-06-27,5594558,4415602
2019-06-28,5438625,4286797
2019-06-29,3107023,2594423
2019-06-30,2969052,2476360
2019-07-01,5176742,4177222
2019-07-02,5289941,4202618
2019-07-03,5185013,4097727
2019-07-04,2714742,2257744
2019-07-05,3902204,3192594
2019-07-06,2525772,2158348
2019-07-07,2254431,1921067
2019-07-08,5101711,4034615
2019-07-09,5425155,4290859
2019-07-10,5537194,4409911
2019-07-11,5445267,4299199
2019-07-12,5356032,4233103
2019-07-13,2933003,2456330
2019-07-14,2372260,2011728
2019-07-15,5274339,4160816
2019-07-16,5511933,4339975
2019-07-17,5409095,4262847
2019-07-18,5337920,4228860
2019-07-19,5161306,4100562
2019-07-20,2577372,2187622
2019-07-21,2123592,1840794
2019-07-22,5025668,4001917
2019-07-23,5241932,4186164
2019-07-24,5542973,4393104
2019-07-25,5511676,4391052
2019-07-26,5261626,4205281
2019-07-27,2979924,2533844
2019-07-28,2366818,2039909
2019-07-29,5109669,4091889
2019-07-30,5353509,4272322
2019-07-31,5296638,4236290
2019-08-01,5420186,4341844
2019-08-02,5177868,4156262
2019-08-03,2935761,2473949
2019-08-04,2387641,2036331
2019-08-05,5119308,4108369
2019-08-06,5307478,4253592
2019-08-07,5211695,4170703
2019-08-08,5381920,4312054
2019-08-09,5133532,4130474
2019-08-10,2951505,2510821
2019-08-11,2410400,2087899
2019-08-12,4996235,3993191
2019-08-13,5107269,4082515
2019-08-14,5209488,4168375
2019-08-15,5291961,4238662
2019-08-16,4984839,4009695
2019-08-17,2813001,2386512
2019-08-18,2231228,1915614
2019-08-19,4811910,3871933
2019-08-20,5098695,4096506
2019-08-21,5019326,4024311
2019-08-22,5030988,4081074
2019-08-23,4804122,3867557
2019-08-24,2843655,2412083
2019-08-25,2280065,1966292
2019-08-26,4861499,3897139
2019-08-27,5192349,4143871
2019-08-28,5274811,4131985
2019-08-29,5368287,4206242
2019-08-30,4960764,3940262
2019-08-31,2932018,2421447
2019-09-01,2528839,2107600
2019-09-02,2249056,1867314
2019-09-03,5346373,4230107
2019-09-04,5531237,4389304
2019-09-05,5756953,4627151
2019-09-06,5621336,4503460
2019-09-07,3174508,2733268
2019-09-08,2482316,2190686
2019-09-09,5654290,4503410
2019-09-10,5866105,4651034
2019-09-11,5893766,4665795
2019-09-12,5877170,4650738
2019-09-13,5828395,4627136
2019-09-14,3047899,2642888
2019-09-15,2503525,2185137
2019-09-16,5655161,4461358
2019-09-17,5925901,4663976
2019-09-18,5983829,4719269
2019-09-19,6018023,4698479
2019-09-20,5954972,4678673
2019-09-21,3286918,2760457
2019-09-22,2591394,2191950
2019-09-23,5749183,4485968
2019-09-24,6010733,4669834
2019-09-25,6070275,4701530
2019-09-26,6082669,4697320
2019-09-27,5926964,4573531
2019-09-28,3171811,2658315
2019-09-29,2479712,2141081
2019-09-30,4811268,3853792
2019-10-01,5200170,4146192
2019-10-02,5913799,4647755
2019-10-03,5985293,4695882
2019-10-04,5975737,4697224
2019-10-05,3358223,2818664
2019-10-06,2574233,2200434
2019-10-07,5796621,4517490
2019-10-08,5796974,4557619
2019-10-09,4967897,3995131
2019-10-10,6097901,4780875
2019-10-11,5928409,4576628
2019-10-12,3280290,2730869
2019-10-13,2679575,2267752
2019-10-14,4321814,3450984
2019-10-15,5932700,4585237
2019-10-16,5868385,4539626
2019-10-17,6129449,4713721
2019-10-18,6022486,4662729
2019-10-19,3364907,2715153
2019-10-20,2440674,1999583
2019-10-21,5732780,4413301
2019-10-22,5844137,4519606
2019-10-23,6099764,4709032
2019-10-24,6163801,4751365
2019-10-25,5936847,4612382
2019-10-26,3333796,2721616
2019-10-27,2191666,1830357
2019-10-28,5793365,4481494
2019-10-29,6007617,4642081
2019-10-30,6043060,4686551
2019-10-31,5835028,4553736
2019-11-01,5961375,4658400
2019-11-02,3305113,2706726
2019-11-03,2758193,2300627
2019-11-04,5792887,4509361
2019-11-05,5526338,4359629
2019-11-06,5997525,4669243
2019-11-07,5983306,4662248
2019-11-08,5777683,4544423
2019-11-09,3186162,2653868
2019-11-10,2505099,2122188
2019-11-11,4763722,3805546
2019-11-12,5772020,4555040
2019-11-13,5808536,4554661
2019-11-14,5901583,4647334
2019-11-15,5808381,4603485
2019-11-16,3234331,2795008
2019-11-17,2465477,2142616
2019-11-18,5604925,4407161
2019-11-19,5903190,4642187
2019-11-20,5921573,4656213
2019-11-21,5985972,4695006
2019-11-22,5742791,4570525
2019-11-23,3129517,2691601
2019-11-24,2234402,1985632
2019-11-25,5662440,4449606
2019-11-26,5797483,4546064
2019-11-27,5273068,4148749
2019-11-28,2154378,1842372
2019-11-29,3434555,2851348
2019-11-30,2824319,2397194
2019-12-01,2051094,1766605
2019-12-02,5239900,4072143
2019-12-03,5827441,4507584
2019-12-04,5966023,4634096
2019-12-05,6059815,4692191
2019-12-06,5942595,4630958
2019-12-07,3534896,2941188
2019-12-08,2715775,2300731
2019-12-09,5607895,4345642
2019-12-10,5929542,4600401
2019-12-11,5960088,4629867
2019-12-12,6081242,4721959
2019-12-13,5889733,4607037
2019-12-14,3465300,2912281
2019-12-15,2870162,2435572
2019-12-16,5741140,4487101
2019-12-17,5700536,4464392
2019-12-18,5945451,4681029
2019-12-19,5727587,4507459
2019-12-20,5616569,4493505
2019-12-21,3214310,2706489
2019-12-22,2725943,2333552
2019-12-23,4787987,3871307
2019-12-24,3718129,3082888
2019-12-25,1839606,1673275
2019-12-26,3979406,3256686
2019-12-27,4391623,3518449
2019-12-28,3185817,2641268
2019-12-29,2597776,2166024
2019-12-30,4308708,3467168
2019-12-31,4012814,3320112
2020-01-01,2279624,2012530
2020-01-02,4947424,3974298
2020-01-03,4903405,3931408
2020-01-04,2748507,2340586
2020-01-05,2234846,1939761
2020-01-06,5174227,4100904
2020-01-07,5341975,4215509
2020-01-08,5360037,4274056
2020-01-09,5384217,4264704
2020-01-10,5392994,4288142
2020-01-11,2944251,2516680
2020-01-12,2265834,1978335
2020-01-13,5161325,4112264
2020-01-14,5359143,4246430
2020-01-15,5448130,4322263
2020-01-16,5490900,4325247
2020-01-17,5281098,4182436
2020-01-18,2511775,2178257
2020-01-19,2228324,1941991
2020-01-20,3117516,2601185
2020-01-21,5228801,4155348
2020-01-22,5324949,4219652
2020-01-23,5360722,4248145
2020-01-24,5220693,4183918
2020-01-25,2521183,2187540
2020-01-26,2285058,1984538
2020-01-27,5201390,4133547
2020-01-28,5524293,4375558
2020-01-29,5545366,4386106
2020-01-30,5536579,4377395
2020-01-31,5314901,4250448
2020-02-01,2779842,2376253
2020-02-02,2182594,1872976
2020-02-03,5299991,4241380
2020-02-04,5500943,4343074
2020-02-05,5568188,4399286
2020-02-06,5535130,4373195
2020-02-07,5380505,4279117
2020-02-08,2872698,2441448
2020-02-09,2196393,1884101
2020-02-10,5282484,4171487
2020-02-11,5482708,4328577
2020-02-12,5470041,4334873
2020-02-13,5548223,4388479
2020-02-14,5357971,4281691
2020-02-15,2689278,2301067
2020-02-16,2266222,1958127
2020-02-17,3107490,2545724
2020-02-18,5075928,4077242
2020-02-19,5247351,4216330
2020-02-20,5231799,4231119
2020-02-21,5004120,4052917
2020-02-22,2820731,2408734
2020-02-23,2217460,1924787
2020-02-24,5303131,4202941
2020-02-25,5454301,4330258
2020-02-26,5483078,4373864
2020-02-27,5584331,4442751
2020-02-28,5372066,4307299
2020-02-29,2787543,2411420
2020-03-01,2162882,1907859
2020-03-02,5236058,4187752
2020-03-03,5398150,4386309
2020-03-04,5396974,4437032
2020-03-05,5391787,4430498
2020-03-06,5123945,4282132
2020-03-07,2720634,2459736
2020-03-08,2106926,1970416
2020-03-09,4889754,4042674
2020-03-10,4833741,3974617
2020-03-11,4680849,3850061
2020-03-12,4120970,3423054
2020-03-13,3472531,2930624
2020-03-14,1639614,1547697
2020-03-15,1151491,1127707
2020-03-16,2187898,1891958
2020-03-17,1804286,1584956
2020-03-18,1647030,1462102
2020-03-19,1486200,1335612
2020-03-20,1340379,1222148
2020-03-21,649150,672006
2020-03-22,444140,494786
2020-03-23,752142,749748
2020-03-24,819751,802768
2020-03-25,756994,766367
2020-03-26,774225,747425
2020-03-27,746125,697710
2020-03-28,354022,433972
2020-03-29,300054,371903
2020-03-30,583047,610598
2020-03-31,553147,584033
2020-04-01,552848,585544
2020-04-02,524482,557540
2020-04-03,523369,558956
2020-04-04,317975,384161
2020-04-05,264434,331202
2020-04-06,485223,525836
2020-04-07,474869,515025
2020-04-08,466830,508996
2020-04-09,444755,491262
2020-04-10,439656,493315
2020-04-11,294172,365388
2020-04-12,237108,309134
2020-04-13,403790,456312
2020-04-14,473009,519644
2020-04-15,461807,540818
2020-04-16,463978,511799
2020-04-17,522948,525850
2020-04-18,296020,365965
2020-04-19,267445,335724
2020-04-20,483132,532279
2020-04-21,469188,515006
2020-04-22,505156,546714
2020-04-23,536665,564956
2020-04-24,526911,561809
2020-04-25,377297,433686
2020-04-26,301066,356201
2020-04-27,547163,577702
2020-04-28,573566,598341
2020-04-29,562868,588109
2020-04-30,550977,577160
2020-05-01,580955,607112
2020-05-02,374283,436287
2020-05-03,308721,369870
2020-05-04,562250,589050
2020-05-05,571927,597575
2020-05-06,557353,580619
2020-05-07,584599,604132
2020-05-08,575507,598035
2020-05-09,363712,422840
2020-05-10,320500,374036
2020-05-11,569488,589762
2020-05-12,603062,615457
2020-05-13,615677,623203
2020-05-14,658286,651873
2020-05-15,641519,651035
2020-05-16,411999,456015
2020-05-17,338501,380277
2020-05-18,646207,646099
2020-05-19,662524,658071
2020-05-20,674839,670336
2020-05-21,679191,675363
2020-05-22,682982,684772
2020-05-23,383161,420383
2020-05-24,369320,409727
2020-05-25,443239,470541
2020-05-26,705033,704168
2020-05-27,723254,720928
2020-05-28,704967,703694
2020-05-29,704487,711893
2020-05-30,470998,527484
2020-05-31,391170,442967
2020-06-01,729375,752290
2020-06-02,732404,745649
2020-06-03,762860,751930
2020-06-04,767964,767708
2020-06-05,744940,754589
2020-06-06,502181,557509
2020-06-07,420852,471079
2020-06-08,843134,841604
2020-06-09,918226,904495
2020-06-10,933855,914495
2020-06-11,856768,847555
2020-06-12,935154,930190
2020-06-13,581667,629269
2020-06-14,471142,554912
2020-06-15,934141,917668
2020-06-16,965972,988158
2020-06-17,984748,956265
2020-06-18,974409,949346
2020-06-19,1031051,1007977
2020-06-20,610686,651226
2020-06-21,489826,533266
2020-06-22,1069039,1047557
2020-06-23,1076484,1059773
2020-06-24,1092156,1073156
2020-06-25,1105927,1081437
2020-06-26,1123001,1117948
2020-06-27,644455,740411
2020-06-28,565868,614388
2020-06-29,1125787,1103243
2020-06-30,1138595,1102744
2020-07-01,1132871,1110993
2020-07-02,1176615,1172620
2020-07-03,869917,897817
2020-07-04,618193,682124
2020-07-05,556490,613247
2020-07-06,1096127,1096564
2020-07-07,1163369,1159153
2020-07-08,1172812,1172709
2020-07-09,1211538,1226638
2020-07-10,1036532,1053337
2020-07-11,703398,763175
2020-07-12,639492,710872
2020-07-13,1183659,1221508
2020-07-14,1234554,1245084
2020-07-15,1237570,1254136
2020-07-16,1237487,1258829
2020-07-17,1196557,1223902
2020-07-18,776694,873112
2020-07-19,593708,689808
2020-07-20,1152234,1190497
2020-07-21,1230725,1262659
2020-07-22,1217013,1290391
2020-07-23,1215537,1247649
2020-07-24,1230656,1240576
2020-07-25,805682,942150
2020-07-26,607573,713202
2020-07-27,1187657,1237240
2020-07-28,1222576,1270263
2020-07-29,1272436,1320566
2020-07-30,1265430,1345921
2020-07-31,1251325,1367690
2020-08-01,839976,992852
2020-08-02,601104,750671
2020-08-03,1256528,1349778
2020-08-04,1015868,1112694
2020-08-05,1373193,1451976
2020-08-06,1312395,1409575
2020-08-07,1266735,1368691
2020-08-08,835702,962674
2020-08-09,723565,806051
2020-08-10,1278020,1356326
2020-08-11,1320242,1388893
2020-08-12,1299525,1357426
2020-08-13,1293544,1347576
2020-08-14,1354104,1428507
2020-08-15,866814,995528
2020-08-16,580870,696718
2020-08-17,1313745,1411627
2020-08-18,1367597,1425986
2020-08-19,1288411,1385105
2020-08-20,1402223,1466780
2020-08-21,1378842,1456701
2020-08-22,887224,1007650
2020-08-23,692821,812378
2020-08-24,1309958,1380716
2020-08-25,1351675,1424185
2020-08-26,1407000,1524794
2020-08-27,1361932,1428258
2020-08-28,1386157,1467523
2020-08-29,796767,916690
2020-08-30,771349,898420
2020-08-31,1409291,1458381
2020-09-01,1470628,1508793
2020-09-02,1484218,1506020
2020-09-03,1524991,1545342
2020-09-04,1591850,1594325
2020-09-05,1023033,1154451
2020-09-06,845857,950974
2020-09-07,931743,998524
2020-09-08,1564939,1587828
2020-09-09,1619711,1682953
2020-09-10,1550589,1569541
2020-09-11,1690845,1716339
2020-09-12,1098757,1203606
2020-09-13,835417,943667
2020-09-14,1617355,1578799
2020-09-15,1682029,1592136
2020-09-16,1687505,1586429
2020-09-17,1692052,1593902
2020-09-18,1717172,1639110
2020-09-19,1157134,1160561
2020-09-20,881084,894347
2020-09-21,1648614,1547550
2020-09-22,1671253,1613393
2020-09-23,1661918,1651428
2020-09-24,1648910,1641883
2020-09-25,1677108,1695980
2020-09-26,1054353,1195495
2020-09-27,804368,925215
2020-09-28,1427448,1481263
2020-09-29,1593662,1604762
2020-09-30,1664997,1677630
2020-10-01,1726723,1740585
2020-10-02,1699599,1737825
2020-10-03,1094444,1228269
2020-10-04,811293,948731
2020-10-05,1605411,1631838
2020-10-06,1678029,1703638
2020-10-07,1683470,1710283
2020-10-08,1702979,1736296
2020-10-09,1710630,1763848
2020-10-10,1090204,1173141
2020-10-11,799310,872080
2020-10-12,1225003,1217040
2020-10-13,1637379,1572835
2020-10-14,1735014,1664099
2020-10-15,1747894,1678315
2020-10-16,1573672,1523512
2020-10-17,1123387,1192765
2020-10-18,841348,907128
2020-10-19,1634247,1565095
2020-10-20,1689446,1635053
2020-10-21,1717021,1644430
2020-10-22,1722140,1656423
2020-10-23,1730545,1687051
2020-10-24,1098766,1174668
2020-10-25,825821,896348
2020-10-26,1605814,1553130
2020-10-27,1718393,1654016
2020-10-28,1714039,1652023
2020-10-29,1630291,1551911
2020-10-30,1652834,1621803
2020-10-31,1127859,1174913
2020-11-01,724383,784296
2020-11-02,1646446,1596421
2020-11-03,1516435,1488384
2020-11-04,1600446,1555055
2020-11-05,1691215,1682844
2020-11-06,1718719,1691453
2020-11-07,1141258,1227855
2020-11-08,868757,949048
2020-11-09,1649436,1601953
2020-11-10,1724340,1679615
2020-11-11,1509716,1496874
2020-11-12,1655418,1622430
2020-11-13,1678252,1663370
2020-11-14,1105995,1196244
2020-11-15,764427,844999
2020-11-16,1629894,1592774
2020-11-17,1679391,1652839
2020-11-18,1671019,1648325
2020-11-19,1648655,1647628
2020-11-20,1677886,1692549
2020-11-21,1060953,1161893
2020-11-22,771155,879713
2020-11-23,1541746,1554761
2020-11-24,1619023,1607943
2020-11-25,1571887,1590079
2020-11-26,639499,731615
2020-11-27,1201246,1256399
2020-11-28,951279,1057005
2020-11-29,771780,889343
2020-11-30,1367811,1420239
2020-12-01,1590317,1595227
2020-12-02,1585240,1604027
2020-12-03,1619996,1627262
2020-12-04,1580182,1602649
2020-12-05,923019,1040178
2020-12-06,811806,948048
2020-12-07,1546274,1565485
2020-12-08,1598051,1586426
2020-12-09,1588277,1601432
2020-12-10,1641152,1634000
2020-12-11,1652658,1679441
2020-12-12,1010952,1116407
2020-12-13,846588,980442
2020-12-14,1495295,1504050
2020-12-15,1672435,1650572
2020-12-16,1483323,1485305
2020-12-17,1015598,1082417
2020-12-18,1601875,1633524
2020-12-19,1069377,1168488
2020-12-20,798565,890237
2020-12-21,1657780,1623645
2020-12-22,1692320,1649936
2020-12-23,1700828,1679492
2020-12-24,1286022,1312209
2020-12-25,560795,600521
2020-12-26,886420,941292
2020-12-27,765011,846601
2020-12-28,1470288,1465862
2020-12-29,1506980,1508218
2020-12-30,1557052,1536565
2020-12-31,1285496,1288773
2021-01-01,656205,689162
2021-01-02,962196,1029354
2021-01-03,660452,726652
2021-01-04,1508932,1477580
2021-01-05,1540679,1497199
2021-01-06,1545555,1523410
2021-01-07,1530684,1529375
2021-01-08,1535990,1516804
2021-01-09,953970,1033468
2021-01-10,734246,829038
2021-01-11,1494995,1512376
2021-01-12,1552349,1521670
2021-01-13,1552957,1537909
2021-01-14,1534430,1538183
2021-01-15,1538194,1515168
2021-01-16,957400,1025763
2021-01-17,762369,852640
2021-01-18,1226743,1258078
2021-01-19,1569235,1530817
2021-01-20,1515398,1486592
2021-01-21,1558652,1542979
2021-01-22,1600536,1554897
2021-01-23,985717,1034784
2021-01-24,735755,801456
2021-01-25,1534282,1484387
2021-01-26,1586740,1433422
2021-01-27,1682222,1540476
2021-01-28,1642720,1531062
2021-01-29,1551400,1421260
2021-01-30,1028491,954657
2021-01-31,815815,765561
2021-02-01,759390,664217
2021-02-02,1105659,961906
2021-02-03,1731735,1573451
2021-02-04,1886663,1660282
2021-02-05,1865566,1611067
2021-02-06,1323959,1149151
2021-02-07,872578,702520
2021-02-08,1798317,1527234
2021-02-09,1826301,1535524
2021-02-10,1896965,1618519
2021-02-11,1821585,1591412
2021-02-12,1840096,1582882
2021-02-13,1293019,1094426
2021-02-14,1047667,894144
2021-02-15,1437045,1169903
2021-02-16,1815142,1514251
2021-02-17,1857519,1611856
2021-02-18,1451673,1304992
