Dates,Total Entries,Total Exits
2016-07-31,2349940,1898915
2016-08-01,5179425,3859058
2016-08-02,5416977,4127629
2016-08-03,5540578,4146914
2016-08-04,5507255,4117534
2016-08-05,5309728,3994886
2016-08-06,3020660,2381253
2016-08-07,2564885,2055393
2016-08-08,5115463,3858602
2016-08-09,5347227,4036105
2016-08-10,5279272,3994190
2016-08-11,5316294,4008640
2016-08-12,5098889,3842717
2016-08-13,2880302,2294845
2016-08-14,2332935,1887368
2016-08-15,4973809,3744977
2016-08-16,5149319,3885084
2016-08-17,5217080,3942307
2016-08-18,5159708,3899542
2016-08-19,5035812,3797567
2016-08-20,2937025,2309887
2016-08-21,2336845,1873534
2016-08-22,4885646,3708030
2016-08-23,5101051,3869320
2016-08-24,5146362,3899349
2016-08-25,5196411,3925651
2016-08-26,5065924,3822336
2016-08-27,3058500,2410957
2016-08-28,2488896,1988811
2016-08-29,5028029,3767311
2016-08-30,5234825,3956362
2016-08-31,5242419,3940007
2016-09-01,5168713,3902651
2016-09-02,5023692,3784706
2016-09-03,2990959,2363546
2016-09-04,2558028,2037474
2016-09-05,2533597,2010395
2016-09-06,5299887,3965722
2016-09-07,5571771,4159832
2016-09-08,5850591,4338651
2016-09-09,5740284,4249477
2016-09-10,3212969,2536889
2016-09-11,2563563,2063371
2016-09-12,5378187,4013450
2016-09-13,5889632,4318084
2016-09-14,5948752,4359917
2016-09-15,6008286,4396985
2016-09-16,5874345,4324474
2016-09-17,3309161,2593425
2016-09-18,2418947,1944450
2016-09-19,5543130,4062900
2016-09-20,5969606,4356269
2016-09-21,6016939,4395810
2016-09-22,6025790,4426627
2016-09-23,5898649,4343544
2016-09-24,3347762,2660246
2016-09-25,2647418,2137904
2016-09-26,5704625,4179300
2016-09-27,5865712,4321361
2016-09-28,5958474,4382492
2016-09-29,5944853,4348596
2016-09-30,5781696,4239270
2016-10-01,3132776,2468962
2016-10-02,2476340,1986551
2016-10-03,4890145,3676678
2016-10-04,5162154,3865396
2016-10-05,5966048,4352970
2016-10-06,5993860,4392240
2016-10-07,5927674,4333736
2016-10-08,3162858,2509012
2016-10-09,2373071,1932739
2016-10-10,4354286,3333748
2016-10-11,5605462,4133668
2016-10-12,5011831,3779709
2016-10-13,5973516,4375486
2016-10-14,5938753,4353790
2016-10-15,3299796,2624515
2016-10-16,2588598,2087316
2016-10-17,5577492,4087124
2016-10-18,5806059,4254909
2016-10-19,5946288,4384120
2016-10-20,5938363,4345025
2016-10-21,5732615,4214244
2016-10-22,3139306,2521911
2016-10-23,2613946,2069329
2016-10-24,5637876,4116648
2016-10-25,5843722,4280615
2016-10-26,6004599,4366229
